allianceid,cusip1,cusip2,effective,licensing,exlicensing,manufacturing,oem,marketing,rnd,strategic,supply,techtrans,cballiance,jv
239,44440Q,12289R,1990-01-22,0,0,0,0,0,0,0,0,0,0,1
239,63506T,12289R,1990-01-22,0,0,0,0,0,0,0,0,0,0,1
239,63506T,44440Q,1990-01-22,0,0,0,0,0,0,0,0,0,0,1
239,652487,12289R,1990-01-22,0,0,0,0,0,0,0,0,0,0,1
239,652487,44440Q,1990-01-22,0,0,0,0,0,0,0,0,0,0,1
239,652487,63506T,1990-01-22,0,0,0,0,0,0,0,0,0,0,1
240,42077A,36222C,1990-01-22,0,0,1,0,1,1,1,0,0,1,0
241,89153Q,64158W,1990-01-23,0,0,0,0,0,0,1,0,1,0,0
242,719153,57685Z,1990-01-23,0,0,0,0,1,0,1,0,0,0,0
243,91825I,909214,1990-01-23,0,0,0,0,1,0,1,0,0,0,0
244,866810,045080,1990-01-23,0,0,0,0,1,0,1,0,0,0,0
245,63506T,204672,1990-01-25,0,0,0,0,0,1,0,0,0,0,1
245,71833Z,204672,1990-01-25,0,0,0,0,0,1,0,0,0,0,1
245,71833Z,63506T,1990-01-25,0,0,0,0,0,1,0,0,0,0,1
245,88509U,204672,1990-01-25,0,0,0,0,0,1,0,0,0,0,1
245,88509U,63506T,1990-01-25,0,0,0,0,0,1,0,0,0,0,1
245,88509U,71833Z,1990-01-25,0,0,0,0,0,1,0,0,0,0,1
246,826197,459200,1990-01-25,0,0,0,0,0,1,1,0,0,0,0
247,866810,456779,1990-01-26,0,0,0,0,1,0,1,0,0,0,0
248,364717,253849,1990-01-29,0,0,0,0,1,0,1,0,0,0,0
249,620076,459200,1990-01-30,0,0,0,0,0,0,0,0,0,0,1
250,X89488,45837U,1990-01-31,1,0,1,0,0,0,1,0,1,0,0
251,82619H,00102R,1990-01-31,0,0,0,0,0,0,0,0,0,0,1
252,277461,030177,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,27874N,030177,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,27874N,277461,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,459200,030177,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,459200,277461,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,459200,27874N,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,835699,030177,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,835699,277461,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,835699,27874N,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
252,835699,459200,1990-02-01,1,0,0,0,0,0,1,0,1,1,0
253,891493,27874N,1990-02-01,1,0,1,0,1,1,1,0,1,1,0
254,641208,29482Z,1990-02-01,0,0,0,0,1,0,1,0,0,0,0
255,11434A,10543Q,1990-02-01,0,0,0,0,0,0,1,0,0,0,0
256,747525,01373R,1990-02-05,0,0,1,0,1,0,0,1,0,0,1
257,15143C,030177,1990-02-05,0,0,0,0,0,0,1,0,0,0,0
258,670006,204493,1990-02-06,0,0,0,0,0,0,1,0,0,0,0
259,65331L,459200,1990-02-06,0,0,0,0,0,0,1,0,0,0,0
260,50042M,111021,1990-02-06,0,0,1,0,0,0,1,0,0,0,0
260,552673,111021,1990-02-06,0,0,1,0,0,0,1,0,0,0,0
260,552673,50042M,1990-02-06,0,0,1,0,0,0,1,0,0,0,0
261,91265F,28248F,1990-02-06,0,0,0,0,0,0,1,0,1,0,0
262,879240,499040,1990-02-06,0,0,0,0,0,0,0,0,0,0,1
